arc_length_s   gamma_x(s)    gamma_y(s)   gamma_z(s)
0.000e-02      3.000e-01     0.000e-03    4.000e-02
0.200e-02      3.000e-01     4.500e-03    4.200e-02
0.400e-02      2.999e-01     9.000e-03    4.400e-02
0.600e-02      2.997e-01     1.350e-02    4.600e-02
0.800e-02      2.995e-01     1.800e-02    4.800e-02
1.000e-02      2.992e-01     2.250e-02    5.000e-02
1.200e-02      2.988e-01     2.700e-02    5.200e-02
1.400e-02      2.983e-01     3.150e-02    5.400e-02
1.600e-02      2.978e-01     3.590e-02    5.600e-02
1.800e-02      2.973e-01     4.040e-02    5.800e-02
2.000e-02      2.966e-01     4.490e-02    6.000e-02
2.200e-02      2.959e-01     4.930e-02    6.200e-02
2.400e-02      2.951e-01     5.380e-02    6.400e-02
2.600e-02      2.943e-01     5.820e-02    6.600e-02
2.800e-02      2.934e-01     6.260e-02    6.800e-02
3.000e-02      2.924e-01     6.700e-02    7.000e-02
3.200e-02      2.914e-01     7.140e-02    7.200e-02
3.400e-02      2.903e-01     7.570e-02    7.400e-02
3.600e-02      2.891e-01     8.010e-02    7.600e-02
3.800e-02      2.879e-01     8.440e-02    7.800e-02
4.000e-02      2.866e-01     8.870e-02    8.000e-02
4.200e-02      2.852e-01     9.300e-02    8.200e-02
4.400e-02      2.838e-01     9.730e-02    8.400e-02
4.600e-02      2.823e-01     1.016e-01    8.600e-02
4.800e-02      2.807e-01     1.058e-01    8.800e-02
5.000e-02      2.791e-01     1.100e-01    9.000e-02
5.200e-02      2.774e-01     1.142e-01    9.200e-02
5.400e-02      2.757e-01     1.183e-01    9.400e-02
5.600e-02      2.739e-01     1.224e-01    9.600e-02
5.800e-02      2.720e-01     1.265e-01    9.800e-02
6.000e-02      2.701e-01     1.306e-01    1.000e-01
6.200e-02      2.681e-01     1.347e-01    1.020e-01
6.400e-02      2.660e-01     1.387e-01    1.040e-01
6.600e-02      2.639e-01     1.426e-01    1.060e-01
6.800e-02      2.617e-01     1.466e-01    1.080e-01
7.000e-02      2.595e-01     1.505e-01    1.100e-01
7.200e-02      2.572e-01     1.544e-01    1.120e-01
7.400e-02      2.549e-01     1.582e-01    1.140e-01
7.600e-02      2.525e-01     1.620e-01    1.160e-01
7.800e-02      2.500e-01     1.658e-01    1.180e-01
8.000e-02      2.475e-01     1.695e-01    1.200e-01
8.200e-02      2.449e-01     1.732e-01    1.220e-01
8.400e-02      2.423e-01     1.769e-01    1.240e-01
8.600e-02      2.396e-01     1.805e-01    1.260e-01
8.800e-02      2.369e-01     1.841e-01    1.280e-01
9.000e-02      2.341e-01     1.876e-01    1.300e-01
9.200e-02      2.312e-01     1.911e-01    1.320e-01
9.400e-02      2.283e-01     1.946e-01    1.340e-01
9.600e-02      2.254e-01     1.980e-01    1.360e-01
9.800e-02      2.224e-01     2.013e-01    1.380e-01
1.000e-01      2.194e-01     2.047e-01    1.400e-01
1.020e-01      2.163e-01     2.079e-01    1.420e-01
1.040e-01      2.131e-01     2.112e-01    1.440e-01
1.060e-01      2.099e-01     2.143e-01    1.460e-01
1.080e-01      2.067e-01     2.175e-01    1.480e-01
1.100e-01      2.034e-01     2.205e-01    1.500e-01
1.120e-01      2.001e-01     2.236e-01    1.520e-01
1.140e-01      1.967e-01     2.265e-01    1.540e-01
1.160e-01      1.932e-01     2.295e-01    1.560e-01
1.180e-01      1.898e-01     2.323e-01    1.580e-01
1.200e-01      1.863e-01     2.352e-01    1.600e-01
1.220e-01      1.827e-01     2.379e-01    1.620e-01
1.240e-01      1.791e-01     2.407e-01    1.640e-01
1.260e-01      1.755e-01     2.433e-01    1.660e-01
1.280e-01      1.718e-01     2.459e-01    1.680e-01
1.300e-01      1.681e-01     2.485e-01    1.700e-01
1.320e-01      1.644e-01     2.510e-01    1.720e-01
1.340e-01      1.606e-01     2.534e-01    1.740e-01
1.360e-01      1.567e-01     2.558e-01    1.760e-01
1.380e-01      1.529e-01     2.581e-01    1.780e-01
1.400e-01      1.490e-01     2.604e-01    1.800e-01
1.420e-01      1.451e-01     2.626e-01    1.820e-01
1.440e-01      1.411e-01     2.647e-01    1.840e-01
1.460e-01      1.371e-01     2.668e-01    1.860e-01
1.480e-01      1.331e-01     2.689e-01    1.880e-01
1.500e-01      1.290e-01     2.708e-01    1.900e-01
1.520e-01      1.250e-01     2.727e-01    1.920e-01
1.540e-01      1.209e-01     2.746e-01    1.940e-01
1.560e-01      1.167e-01     2.764e-01    1.960e-01
1.580e-01      1.126e-01     2.781e-01    1.980e-01
1.600e-01      1.084e-01     2.797e-01    2.000e-01
1.620e-01      1.042e-01     2.813e-01    2.020e-01
1.640e-01      9.990e-02     2.829e-01    2.040e-01
1.660e-01      9.570e-02     2.843e-01    2.060e-01
1.680e-01      9.140e-02     2.857e-01    2.080e-01
1.700e-01      8.710e-02     2.871e-01    2.100e-01
1.720e-01      8.280e-02     2.884e-01    2.120e-01
1.740e-01      7.840e-02     2.896e-01    2.140e-01
1.760e-01      7.410e-02     2.907e-01    2.160e-01
1.780e-01      6.970e-02     2.918e-01    2.180e-01
1.800e-01      6.530e-02     2.928e-01    2.200e-01
1.820e-01      6.090e-02     2.938e-01    2.220e-01
1.840e-01      5.650e-02     2.946e-01    2.240e-01
1.860e-01      5.210e-02     2.954e-01    2.260e-01
1.880e-01      4.760e-02     2.962e-01    2.280e-01
1.900e-01      4.320e-02     2.969e-01    2.300e-01
1.920e-01      3.870e-02     2.975e-01    2.320e-01
1.940e-01      3.420e-02     2.980e-01    2.340e-01
1.960e-01      2.970e-02     2.985e-01    2.360e-01
1.980e-01      2.530e-02     2.989e-01    2.380e-01
2.000e-01      2.080e-02     2.993e-01    2.400e-01
2.020e-01      1.630e-02     2.996e-01    2.420e-01
2.040e-01      1.180e-02     2.998e-01    2.440e-01
2.060e-01      7.300e-03     2.999e-01    2.460e-01
2.080e-01      7.280e-03     3.000e-01    2.480e-01
2.100e-01      -1.700e-03    3.000e-01    2.500e-01
2.120e-01      -6.200e-03    2.999e-01    2.520e-01
2.140e-01      -1.070e-02    2.998e-01    2.540e-01
2.160e-01      -1.520e-02    2.996e-01    2.560e-01
2.180e-01      -1.970e-02    2.993e-01    2.580e-01
2.200e-01      -2.420e-02    2.990e-01    2.600e-01
2.220e-01      -2.870e-02    2.986e-01    2.620e-01
2.240e-01      -3.320e-02    2.982e-01    2.640e-01
2.260e-01      -3.770e-02    2.976e-01    2.660e-01
2.280e-01      -4.210e-02    2.970e-01    2.680e-01
2.300e-01      -4.660e-02    2.964e-01    2.700e-01
2.320e-01      -5.100e-02    2.956e-01    2.720e-01
2.340e-01      -5.550e-02    2.948e-01    2.740e-01
2.360e-01      -5.990e-02    2.940e-01    2.760e-01
2.380e-01      -6.430e-02    2.930e-01    2.780e-01
2.400e-01      -6.870e-02    2.920e-01    2.800e-01
2.420e-01      -7.310e-02    2.910e-01    2.820e-01
2.440e-01      -7.740e-02    2.898e-01    2.840e-01
2.460e-01      -8.180e-02    2.886e-01    2.860e-01
2.480e-01      -8.610e-02    2.874e-01    2.880e-01
2.500e-01      -9.040e-02    2.861e-01    2.900e-01
2.520e-01      -9.470e-02    2.847e-01    2.920e-01
2.540e-01      -9.890e-02    2.832e-01    2.940e-01
2.560e-01      -1.032e-01    2.817e-01    2.960e-01
2.580e-01      -1.074e-01    2.801e-01    2.980e-01
2.600e-01      -1.116e-01    2.785e-01    3.000e-01
2.620e-01      -1.158e-01    2.768e-01    3.020e-01
2.640e-01      -1.199e-01    2.750e-01    3.040e-01
2.660e-01      -1.240e-01    2.732e-01    3.060e-01
2.680e-01      -1.281e-01    2.713e-01    3.080e-01
2.700e-01      -1.322e-01    2.693e-01    3.100e-01
2.720e-01      -1.362e-01    2.673e-01    3.120e-01
2.740e-01      -1.402e-01    2.652e-01    3.140e-01
2.760e-01      -1.442e-01    2.631e-01    3.160e-01
2.780e-01      -1.481e-01    2.609e-01    3.180e-01
2.800e-01      -1.520e-01    2.586e-01    3.200e-01
2.820e-01      -1.559e-01    2.563e-01    3.220e-01
2.840e-01      -1.597e-01    2.540e-01    3.240e-01
2.860e-01      -1.635e-01    2.515e-01    3.260e-01
2.880e-01      -1.672e-01    2.491e-01    3.280e-01
2.900e-01      -1.710e-01    2.465e-01    3.300e-01
2.920e-01      -1.747e-01    2.439e-01    3.320e-01
2.940e-01      -1.783e-01    2.413e-01    3.340e-01
2.960e-01      -1.819e-01    2.386e-01    3.360e-01
2.980e-01      -1.855e-01    2.358e-01    3.380e-01
3.000e-01      -1.890e-01    2.330e-01    3.400e-01
3.020e-01      -1.925e-01    2.301e-01    3.420e-01
3.040e-01      -1.959e-01    2.272e-01    3.440e-01
3.060e-01      -1.993e-01    2.243e-01    3.460e-01
3.080e-01      -2.026e-01    2.212e-01    3.480e-01
3.100e-01      -2.059e-01    2.182e-01    3.500e-01
3.120e-01      -2.092e-01    2.151e-01    3.520e-01
3.140e-01      -2.124e-01    2.119e-01    3.540e-01
3.160e-01      -2.155e-01    2.087e-01    3.560e-01
3.180e-01      -2.186e-01    2.054e-01    3.580e-01
3.200e-01      -2.217e-01    2.021e-01    3.600e-01
3.220e-01      -2.247e-01    1.988e-01    3.620e-01
3.240e-01      -2.277e-01    1.954e-01    3.640e-01
3.260e-01      -2.306e-01    1.919e-01    3.660e-01
3.280e-01      -2.334e-01    1.884e-01    3.680e-01
3.300e-01      -2.362e-01    1.849e-01    3.700e-01
3.320e-01      -2.390e-01    1.813e-01    3.720e-01
3.340e-01      -2.417e-01    1.777e-01    3.740e-01
3.360e-01      -2.443e-01    1.741e-01    3.760e-01
3.380e-01      -2.469e-01    1.704e-01    3.780e-01
3.400e-01      -2.494e-01    1.667e-01    3.800e-01
3.420e-01      -2.519e-01    1.629e-01    3.820e-01
3.440e-01      -2.543e-01    1.591e-01    3.840e-01
3.460e-01      -2.567e-01    1.553e-01    3.860e-01
3.480e-01      -2.590e-01    1.514e-01    3.880e-01
3.500e-01      -2.612e-01    1.475e-01    3.900e-01
3.520e-01      -2.634e-01    1.436e-01    3.920e-01
3.540e-01      -2.656e-01    1.396e-01    3.940e-01
3.560e-01      -2.676e-01    1.356e-01    3.960e-01
3.580e-01      -2.696e-01    1.315e-01    3.980e-01
3.600e-01      -2.716e-01    1.275e-01    4.000e-01
3.620e-01      -2.735e-01    1.234e-01    4.020e-01
3.640e-01      -2.753e-01    1.193e-01    4.040e-01
3.660e-01      -2.770e-01    1.151e-01    4.060e-01
3.680e-01      -2.787e-01    1.110e-01    4.080e-01
3.700e-01      -2.804e-01    1.068e-01    4.100e-01
3.720e-01      -2.819e-01    1.025e-01    4.120e-01
