arc_length_s   gamma_x(s)      gamma_y(s)        gamma_z(s)
0.000e-03      3.000e-01       0.000e-03       4.000e-02
2.000e-03      3.000e-01       4.500e-03       4.200e-02
4.000e-03      2.999e-01       9.000e-03       4.400e-02
6.000e-03      2.997e-01       1.350e-02       4.600e-02
8.000e-03      2.995e-01       1.800e-02       4.800e-02
1.000e-02      2.992e-01       2.250e-02       5.000e-02
1.200e-02      2.988e-01       2.700e-02       5.200e-02
1.400e-02      2.983e-01       3.150e-02       5.400e-02
1.600e-02      2.978e-01       3.590e-02       5.600e-02
1.800e-02      2.973e-01       4.040e-02       5.800e-02
2.000e-02      2.966e-01       4.490e-02       6.000e-02
2.200e-02      2.959e-01       4.930e-02       6.200e-02
2.400e-02      2.951e-01       5.380e-02       6.400e-02
2.600e-02      2.943e-01       5.820e-02       6.600e-02
2.800e-02      2.934e-01       6.260e-02       6.800e-02
3.000e-02      2.924e-01       6.700e-02       7.000e-02
3.200e-02      2.914e-01       7.140e-02       7.200e-02
3.400e-02      2.903e-01       7.570e-02       7.400e-02
3.600e-02      2.891e-01       8.010e-02       7.600e-02
3.800e-02      2.879e-01       8.440e-02       7.800e-02
4.000e-02      2.866e-01       8.870e-02       8.000e-02
4.200e-02      2.852e-01       9.300e-02       8.200e-02
4.400e-02      2.838e-01       9.730e-02       8.400e-02
4.600e-02      2.823e-01       1.016e-01       8.600e-02
4.800e-02      2.807e-01       1.058e-01       8.800e-02
5.000e-02      2.791e-01       1.100e-01       9.000e-02
5.200e-02      2.774e-01       1.142e-01       9.200e-02
5.400e-02      2.757e-01       1.183e-01       9.400e-02
5.600e-02      2.739e-01       1.224e-01       9.600e-02
5.800e-02      2.720e-01       1.265e-01       9.800e-02
6.000e-02      2.701e-01       1.306e-01       1.000e-01
6.200e-02      2.681e-01       1.347e-01       1.020e-01
6.400e-02      2.660e-01       1.387e-01       1.040e-01
6.600e-02      2.639e-01       1.426e-01       1.060e-01
6.800e-02      2.617e-01       1.466e-01       1.080e-01
7.000e-02      2.595e-01       1.505e-01       1.100e-01
7.200e-02      2.572e-01       1.544e-01       1.120e-01
