   arc_length_s     gamma_x(s)       gamma_y(s)       gamma_z(s)
   0.000000e+00    -5.000000e-01    0.000000e+00    4.000000e-02
   2.000000e-02    -4.800000e-01    0.000000e+00    4.200000e-02
   4.000000e-02    -4.600160e-01    7.997867e-04    4.400000e-02
   6.000000e-02    -4.400800e-01    2.398081e-03    4.600000e-02
   8.000000e-02    -4.202238e-01    4.792325e-03    4.800000e-02
   1.000000e-01    -4.004792e-01    7.978689e-03    5.000000e-02
   1.200000e-01    -3.808779e-01    1.195208e-02    5.200000e-02
   1.400000e-01    -3.614512e-01    1.670613e-02    5.400000e-02
   1.600000e-01    -3.422300e-01    2.223324e-02    5.600000e-02
   1.800000e-01    -3.232453e-01    2.852457e-02    5.800000e-02
   2.000000e-01    -3.045274e-01    3.557006e-02    6.000000e-02
   2.200000e-01    -2.861062e-01    4.335842e-02    6.200000e-02
   2.400000e-01    -2.680111e-01    5.187721e-02    6.400000e-02
   2.600000e-01    -2.502712e-01    6.111280e-02    6.600000e-02
   2.800000e-01    -2.329149e-01    7.105040e-02    6.800000e-02
   3.000000e-01    -2.159698e-01    8.167412e-02    7.000000e-02
   3.200000e-01    -1.994631e-01    9.296697e-02    7.200000e-02
   3.400000e-01    -1.834211e-01    1.049109e-01    7.400000e-02
   3.600000e-01    -1.678697e-01    1.174867e-01    7.600000e-02
   3.800000e-01    -1.528336e-01    1.306744e-01    7.800000e-02
   4.000000e-01    -1.383368e-01    1.444529e-01    8.000000e-02
   4.200000e-01    -1.244027e-01    1.588000e-01    8.200000e-02
   4.400000e-01    -1.110535e-01    1.736928e-01    8.400000e-02
   4.600000e-01    -9.831043e-02    1.891076e-01    8.600000e-02
   4.800000e-01    -8.619403e-02    2.050197e-01    8.800000e-02
   5.000000e-01    -7.472363e-02    2.214035e-01    9.000000e-02
   5.200000e-01    -6.391758e-02    2.382329e-01    9.200000e-02
   5.400000e-01    -5.379318e-02    2.554810e-01    9.400000e-02
   5.600000e-01    -4.436661e-02    2.731202e-01    9.600000e-02
   5.800000e-01    -3.565296e-02    2.911222e-01    9.800000e-02
   6.000000e-01    -2.766617e-02    3.094582e-01    1.000000e-01
   6.200000e-01    -2.041902e-02    3.280990e-01    1.020000e-01
   6.400000e-01    -1.392309e-02    3.470147e-01    1.040000e-01
   6.600000e-01    -8.188787e-03    3.661750e-01    1.060000e-01
   6.800000e-01    -3.225278e-03    3.855493e-01    1.080000e-01
   7.000000e-01    9.594952e-04     4.051066e-01    1.100000e-01
   7.200000e-01    4.358838e-03     4.248156e-01    1.120000e-01
   7.400000e-01    6.967312e-03     4.446448e-01    1.140000e-01
   7.600000e-01    8.780745e-03     4.645624e-01    1.160000e-01
   7.800000e-01    9.796234e-03     4.845366e-01    1.180000e-01
   8.000000e-01    1.001216e-02     5.045354e-01    1.200000e-01
   8.200000e-01    9.428166e-03     5.245269e-01    1.220000e-01
   8.400000e-01    8.045197e-03     5.444790e-01    1.240000e-01
   8.600000e-01    5.865462e-03     5.643599e-01    1.260000e-01
   8.800000e-01    2.892448e-03     5.841377e-01    1.280000e-01
   9.000000e-01    -8.690885e-04    6.037808e-01    1.300000e-01
   9.200000e-01    -5.413130e-03    6.232577e-01    1.320000e-01
   9.400000e-01    -1.073241e-02    6.425374e-01    1.340000e-01
   9.600000e-01    -1.681841e-02    6.615889e-01    1.360000e-01
   9.800000e-01    -2.366140e-02    6.803818e-01    1.380000e-01
   1.000000e+00    -3.125044e-02    6.988860e-01    1.400000e-01
   1.020000e+00    -3.957338e-02    7.170720e-01    1.420000e-01
   1.040000e+00    -4.861690e-02    7.349106e-01    1.440000e-01
   1.060000e+00    -5.836654e-02    7.523732e-01    1.460000e-01
   1.080000e+00    -6.880671e-02    7.694320e-01    1.480000e-01
   1.100000e+00    -7.992069e-02    7.860597e-01    1.500000e-01
   1.120000e+00    -9.169071e-02    8.022296e-01    1.520000e-01
   1.140000e+00    -1.040979e-01    8.179159e-01    1.540000e-01
   1.160000e+00    -1.171225e-01    8.330936e-01    1.560000e-01
   1.180000e+00    -1.307437e-01    8.477382e-01    1.580000e-01
   1.200000e+00    -1.449395e-01    8.618264e-01    1.600000e-01
   1.220000e+00    -1.596874e-01    8.753357e-01    1.620000e-01
   1.240000e+00    -1.749637e-01    8.882444e-01    1.640000e-01
   1.260000e+00    -1.907440e-01    9.005318e-01    1.660000e-01
   1.280000e+00    -2.070030e-01    9.121785e-01    1.680000e-01
   1.300000e+00    -2.237148e-01    9.231656e-01    1.700000e-01
   1.320000e+00    -2.408526e-01    9.334756e-01    1.720000e-01
   1.340000e+00    -2.583889e-01    9.430920e-01    1.740000e-01
   1.360000e+00    -2.762958e-01    9.519995e-01    1.760000e-01
   1.380000e+00    -2.945446e-01    9.601838e-01    1.780000e-01
   1.400000e+00    -3.131060e-01    9.676318e-01    1.800000e-01
   1.420000e+00    -3.319505e-01    9.743316e-01    1.820000e-01
   1.440000e+00    -3.510478e-01    9.802724e-01    1.840000e-01
   1.460000e+00    -3.703674e-01    9.854448e-01    1.860000e-01
   1.480000e+00    -3.898783e-01    9.898405e-01    1.880000e-01
   1.500000e+00    -4.095495e-01    9.934524e-01    1.900000e-01
   1.520000e+00    -4.293493e-01    9.962748e-01    1.920000e-01
   1.540000e+00    -4.492462e-01    9.983031e-01    1.940000e-01
   1.560000e+00    -4.692083e-01    9.995342e-01    1.960000e-01
   1.580000e+00    -4.892036e-01    9.999660e-01    1.980000e-01
   1.600000e+00    -5.092002e-01    9.995979e-01    2.000000e-01
   1.620000e+00    -5.291661e-01    9.984304e-01    2.020000e-01
   1.640000e+00    -5.490694e-01    9.964655e-01    2.040000e-01
   1.660000e+00    -5.688781e-01    9.937061e-01    2.060000e-01
   1.680000e+00    -5.885607e-01    9.901569e-01    2.080000e-01
   1.700000e+00    -6.080855e-01    9.858234e-01    2.100000e-01
   1.720000e+00    -6.274215e-01    9.807126e-01    2.120000e-01
   1.740000e+00    -6.465376e-01    9.748326e-01    2.140000e-01
   1.760000e+00    -6.654033e-01    9.681929e-01    2.160000e-01
   1.780000e+00    -6.839884e-01    9.608041e-01    2.180000e-01
   1.800000e+00    -7.022631e-01    9.526780e-01    2.200000e-01
   1.820000e+00    -7.201983e-01    9.438275e-01    2.220000e-01
   1.840000e+00    -7.377652e-01    9.342670e-01    2.240000e-01
   1.860000e+00    -7.549357e-01    9.240116e-01    2.260000e-01
   1.880000e+00    -7.716824e-01    9.130778e-01    2.280000e-01
   1.900000e+00    -7.879785e-01    9.014830e-01    2.300000e-01
   1.920000e+00    -8.037978e-01    8.892459e-01    2.320000e-01
   1.940000e+00    -8.191152e-01    8.763859e-01    2.340000e-01
   1.960000e+00    -8.339060e-01    8.629237e-01    2.360000e-01
   1.980000e+00    -8.481467e-01    8.488808e-01    2.380000e-01
   2.000000e+00    -8.618144e-01    8.342796e-01    2.400000e-01
   2.020000e+00    -8.748872e-01    8.191435e-01    2.420000e-01
   2.040000e+00    -8.873444e-01    8.034968e-01    2.440000e-01
   2.060000e+00    -8.991658e-01    7.873645e-01    2.460000e-01
   2.080000e+00    -9.103327e-01    7.707723e-01    2.480000e-01
   2.100000e+00    -9.208272e-01    7.537468e-01    2.500000e-01
   2.120000e+00    -9.306324e-01    7.363153e-01    2.520000e-01
   2.140000e+00    -9.397327e-01    7.185056e-01    2.540000e-01
   2.160000e+00    -9.481135e-01    7.003463e-01    2.560000e-01
   2.180000e+00    -9.557614e-01    6.818663e-01    2.580000e-01
   2.200000e+00    -9.626643e-01    6.630953e-01    2.600000e-01
   2.220000e+00    -9.688109e-01    6.440633e-01    2.620000e-01
   2.240000e+00    -9.741916e-01    6.248006e-01    2.640000e-01
   2.260000e+00    -9.787976e-01    6.053383e-01    2.660000e-01
   2.280000e+00    -9.826217e-01    5.857073e-01    2.680000e-01
   2.300000e+00    -9.856577e-01    5.659390e-01    2.700000e-01
   2.320000e+00    -9.879008e-01    5.460652e-01    2.720000e-01
   2.340000e+00    -9.893473e-01    5.261176e-01    2.740000e-01
   2.360000e+00    -9.899950e-01    5.061281e-01    2.760000e-01
   2.380000e+00    -9.898427e-01    4.861287e-01    2.780000e-01
   2.400000e+00    -9.888909e-01    4.661513e-01    2.800000e-01
   2.420000e+00    -9.871409e-01    4.462280e-01    2.820000e-01
   2.440000e+00    -9.845956e-01    4.263907e-01    2.840000e-01
   2.460000e+00    -9.812591e-01    4.066709e-01    2.860000e-01
   2.480000e+00    -9.771366e-01    3.871004e-01    2.880000e-01
   2.500000e+00    -9.722348e-01    3.677104e-01    2.900000e-01
   2.520000e+00    -9.665616e-01    3.485319e-01    2.920000e-01
   2.540000e+00    -9.601259e-01    3.295956e-01    2.940000e-01
   2.560000e+00    -9.529382e-01    3.109319e-01    2.960000e-01
   2.580000e+00    -9.450099e-01    2.925705e-01    2.980000e-01
   2.600000e+00    -9.363536e-01    2.745408e-01    3.000000e-01
   2.620000e+00    -9.269833e-01    2.568717e-01    3.020000e-01
   2.640000e+00    -9.169138e-01    2.395914e-01    3.040000e-01
   2.660000e+00    -9.061615e-01    2.227277e-01    3.060000e-01
   2.680000e+00    -8.947433e-01    2.063074e-01    3.080000e-01
   2.700000e+00    -8.826777e-01    1.903569e-01    3.100000e-01
   2.720000e+00    -8.699838e-01    1.749016e-01    3.120000e-01
   2.740000e+00    -8.566820e-01    1.599663e-01    3.140000e-01
   2.760000e+00    -8.427937e-01    1.455748e-01    3.160000e-01
   2.780000e+00    -8.283409e-01    1.317503e-01    3.180000e-01
   2.800000e+00    -8.133469e-01    1.185148e-01    3.200000e-01
   2.820000e+00    -7.978356e-01    1.058894e-01    3.220000e-01
   2.840000e+00    -7.818318e-01    9.389449e-02    3.240000e-01
   2.860000e+00    -7.653611e-01    8.254911e-02    3.260000e-01
   2.880000e+00    -7.484500e-01    7.187147e-02    3.280000e-01
   2.900000e+00    -7.311253e-01    6.187863e-02    3.300000e-01
   2.920000e+00    -7.134149e-01    5.258659e-02    3.320000e-01
   2.940000e+00    -6.953471e-01    4.401020e-02    3.340000e-01
   2.960000e+00    -6.769508e-01    3.616320e-02    3.360000e-01
   2.980000e+00    -6.582554e-01    2.905813e-02    3.380000e-01
   3.000000e+00    -6.392908e-01    2.270636e-02    3.400000e-01
   3.020000e+00    -6.200874e-01    1.711805e-02    3.420000e-01
   3.040000e+00    -6.006759e-01    1.230214e-02    3.440000e-01
   3.060000e+00    -5.810873e-01    8.266335e-03    3.460000e-01
   3.080000e+00    -5.613530e-01    5.017095e-03    3.480000e-01
   3.100000e+00    -5.415046e-01    2.559615e-03    3.500000e-01
   3.120000e+00    -5.215737e-01    8.978269e-04    3.520000e-01
