  arc_length_s     gamma_x(s)       gamma_y(s)       gamma_z(s)
  0.000000e+00    0.000000e+00    0.000000e+00    5.000000e-01
  2.000000e-02    2.000000e-02    0.000000e+00    5.000000e-01
  4.000000e-02    3.999996e-02    0.000000e+00    5.000400e-01
  6.000000e-02    5.999980e-02    0.000000e+00    5.001200e-01
  8.000000e-02    7.999944e-02    0.000000e+00    5.002400e-01
  1.000000e-01    9.999880e-02    0.000000e+00    5.004000e-01
  1.200000e-01    1.199978e-01    0.000000e+00    5.006000e-01
  1.400000e-01    1.399964e-01    0.000000e+00    5.008400e-01
  1.600000e-01    1.599944e-01    0.000000e+00    5.011200e-01
  1.800000e-01    1.799918e-01    0.000000e+00    5.014400e-01
  2.000000e-01    1.999886e-01    0.000000e+00    5.017999e-01
  2.200000e-01    2.199846e-01    0.000000e+00    5.021999e-01
  2.400000e-01    2.399798e-01    0.000000e+00    5.026399e-01
  2.600000e-01    2.599740e-01    0.000000e+00    5.031198e-01
  2.800000e-01    2.799672e-01    0.000000e+00    5.036398e-01
  3.000000e-01    2.999594e-01    0.000000e+00    5.041997e-01
  3.200000e-01    3.199504e-01    0.000000e+00    5.047996e-01
  3.400000e-01    3.399402e-01    0.000000e+00    5.054395e-01
  3.600000e-01    3.599286e-01    0.000000e+00    5.061194e-01
  3.800000e-01    3.799156e-01    0.000000e+00    5.068392e-01
  4.000000e-01    3.999012e-01    0.000000e+00    5.075990e-01
  4.200000e-01    4.198852e-01    0.000000e+00    5.083988e-01
  4.400000e-01    4.398676e-01    0.000000e+00    5.092386e-01
  4.600000e-01    4.598482e-01    0.000000e+00    5.101183e-01
  4.800000e-01    4.798271e-01    0.000000e+00    5.110380e-01
  5.000000e-01    4.998040e-01    0.000000e+00    5.119976e-01
  5.200000e-01    5.197790e-01    0.000000e+00    5.129972e-01
  5.400000e-01    5.397520e-01    0.000000e+00    5.140367e-01
  5.600000e-01    5.597228e-01    0.000000e+00    5.151162e-01
  5.800000e-01    5.796915e-01    0.000000e+00    5.162356e-01
  6.000000e-01    5.996579e-01    0.000000e+00    5.173950e-01
  6.200000e-01    6.196219e-01    0.000000e+00    5.185942e-01
  6.400000e-01    6.395834e-01    0.000000e+00    5.198334e-01
  6.600000e-01    6.595425e-01    0.000000e+00    5.211126e-01
  6.800000e-01    6.794990e-01    0.000000e+00    5.224316e-01
  7.000000e-01    6.994527e-01    0.000000e+00    5.237906e-01
  7.200000e-01    7.194038e-01    0.000000e+00    5.251894e-01
  7.400000e-01    7.393519e-01    0.000000e+00    5.266282e-01
  7.600000e-01    7.592972e-01    0.000000e+00    5.281068e-01
  7.800000e-01    7.792395e-01    0.000000e+00    5.296254e-01
  8.000000e-01    7.991787e-01    0.000000e+00    5.311838e-01
  8.200000e-01    8.191147e-01    0.000000e+00    5.327821e-01
  8.400000e-01    8.390475e-01    0.000000e+00    5.344202e-01
  8.600000e-01    8.589770e-01    0.000000e+00    5.360983e-01
  8.800000e-01    8.789031e-01    0.000000e+00    5.378161e-01
  9.000000e-01    8.988257e-01    0.000000e+00    5.395739e-01
  9.200000e-01    9.187447e-01    0.000000e+00    5.413714e-01
  9.400000e-01    9.386601e-01    0.000000e+00    5.432088e-01
  9.600000e-01    9.585718e-01    0.000000e+00    5.450861e-01
  9.800000e-01    9.784798e-01    0.000000e+00    5.470031e-01
  1.000000e+00    9.983838e-01    0.000000e+00    5.489600e-01
  1.020000e+00    1.018284e+00    0.000000e+00    5.509567e-01
  1.040000e+00    1.038180e+00    0.000000e+00    5.529931e-01
  1.060000e+00    1.058072e+00    0.000000e+00    5.550694e-01
  1.080000e+00    1.077960e+00    0.000000e+00    5.571854e-01
  1.100000e+00    1.097843e+00    0.000000e+00    5.593412e-01
  1.120000e+00    1.117722e+00    0.000000e+00    5.615368e-01
  1.140000e+00    1.137597e+00    0.000000e+00    5.637721e-01
  1.160000e+00    1.157467e+00    0.000000e+00    5.660472e-01
  1.180000e+00    1.177333e+00    0.000000e+00    5.683620e-01
  1.200000e+00    1.197194e+00    0.000000e+00    5.707165e-01
  1.220000e+00    1.217050e+00    0.000000e+00    5.731107e-01
  1.240000e+00    1.236901e+00    0.000000e+00    5.755447e-01
  1.260000e+00    1.256748e+00    0.000000e+00    5.780183e-01
  1.280000e+00    1.276589e+00    0.000000e+00    5.805317e-01
  1.300000e+00    1.296425e+00    0.000000e+00    5.830847e-01
  1.320000e+00    1.316257e+00    0.000000e+00    5.856774e-01
